File,Vessel,ProfileRate_Hz,InitialCPTWL,RefinedCPTWL,CPI_seconds,MiddleProfile,IC
DAP_2010-10-14_14-56-49_025_RIB_CRISS-CROSS45_SPEEDHIGH_FULL_462__P462_T001_G1_sb_HRR_G1_44939.mat,RIB1,400,128,136,0.34,6465,39.17376213
DAP_2010-10-14_14-56-49_025_RIB_CRISS-CROSS45_SPEEDHIGH_FULL_462__P462_T001_G1_sb_HRR_G1_44939.mat,RIB1,400,128,208,0.52,6657,44.87253561
DAP_2010-10-14_14-56-49_025_RIB_CRISS-CROSS45_SPEEDHIGH_FULL_462__P462_T001_G1_sb_HRR_G1_44939.mat,RIB1,400,128,278,0.695,7297,43.68396189
DAP_2010-10-14_14-57-33_026_RIB_CRISS-CROSS45_SPEEDHIGH_FULL_462__P462_T001_G1_sb_HRR_G1_01266.mat,RIB1,400,64,94,0.235,449,33.73614426
DAP_2010-10-14_14-57-33_026_RIB_CRISS-CROSS45_SPEEDHIGH_FULL_462__P462_T001_G1_sb_HRR_G1_01266.mat,RIB1,400,32,112,0.28,545,37.21194112
DAP_2010-10-14_14-57-33_026_RIB_CRISS-CROSS45_SPEEDHIGH_FULL_462__P462_T001_G1_sb_HRR_G1_01266.mat,RIB1,400,128,118,0.295,577,41.57661624
DAP_2010-10-14_14-57-33_026_RIB_CRISS-CROSS45_SPEEDHIGH_FULL_462__P462_T001_G1_sb_HRR_G1_01266.mat,RIB1,400,128,78,0.195,833,36.41336361
DAP_2010-10-14_14-57-33_026_RIB_CRISS-CROSS45_SPEEDHIGH_FULL_462__P462_T001_G1_sb_HRR_G1_01266.mat,RIB1,400,32,72,0.18,1489,35.78069768
DAP_2010-10-14_14-57-33_026_RIB_CRISS-CROSS45_SPEEDHIGH_FULL_462__P462_T001_G1_sb_HRR_G1_01266.mat,RIB1,400,64,74,0.185,1505,35.68941582
DAP_2010-10-14_14-57-33_026_RIB_CRISS-CROSS45_SPEEDHIGH_FULL_462__P462_T001_G1_sb_HRR_G1_01266.mat,RIB1,400,32,82,0.205,1553,38.32564926
DAP_2010-10-14_14-57-33_026_RIB_CRISS-CROSS45_SPEEDHIGH_FULL_462__P462_T001_G1_sb_HRR_G1_01266.mat,RIB1,400,128,208,0.52,2369,35.12702537
DAP_2010-10-14_14-57-33_026_RIB_CRISS-CROSS45_SPEEDHIGH_FULL_462__P462_T001_G1_sb_HRR_G1_01266.mat,RIB1,400,32,194,0.485,2417,32.71647005
DAP_2010-10-14_14-57-33_026_RIB_CRISS-CROSS45_SPEEDHIGH_FULL_462__P462_T001_G1_sb_HRR_G1_01266.mat,RIB1,400,128,88,0.22,2945,41.63497854
DAP_2010-10-14_14-57-33_026_RIB_CRISS-CROSS45_SPEEDHIGH_FULL_462__P462_T001_G1_sb_HRR_G1_01266.mat,RIB1,400,32,112,0.28,3985,42.18599371
DAP_2010-10-14_14-57-33_026_RIB_CRISS-CROSS45_SPEEDHIGH_FULL_462__P462_T001_G1_sb_HRR_G1_01266.mat,RIB1,400,32,122,0.305,4049,41.74848271
DAP_2010-10-14_14-57-33_026_RIB_CRISS-CROSS45_SPEEDHIGH_FULL_462__P462_T001_G1_sb_HRR_G1_01266.mat,RIB1,400,64,94,0.235,4225,36.77698553
DAP_2010-10-14_14-57-33_026_RIB_CRISS-CROSS45_SPEEDHIGH_FULL_462__P462_T001_G1_sb_HRR_G1_01266.mat,RIB1,400,64,94,0.235,4321,39.62924902
DAP_2010-10-14_14-57-33_026_RIB_CRISS-CROSS45_SPEEDHIGH_FULL_462__P462_T001_G1_sb_HRR_G1_01266.mat,RIB1,400,32,90,0.225,4353,32.27957393
DAP_2010-10-14_15-10-00_029_RIB_CRISS-CROSS_SPEEDMEDIUM_18KNOTS_462__P462_T001_G1_sb_HRR_G1_01342.mat,RIB1,400,128,158,0.395,961,31.2416053
DAP_2010-10-14_15-10-00_029_RIB_CRISS-CROSS_SPEEDMEDIUM_18KNOTS_462__P462_T001_G1_sb_HRR_G1_01342.mat,RIB1,400,32,94,0.235,6145,30.53067723
DAP_2010-10-14_11-37-03_001_GID13829__P455_T001_G1_sb_HRR_G1_02429.mat,RIB2,176.0067587,64,80,0.454528,97,21.6447954
DAP_2010-10-14_11-39-33_001_GID13926__P455_T001_G1_sb_HRR_G1_01097.mat,RIB2,176.0067587,32,34,0.1931744,609,27.32509052
DAP_2010-10-14_11-39-33_001_GID13926__P455_T001_G1_sb_HRR_G1_01097.mat,RIB2,176.0067587,128,158,0.8976928,705,25.21073551
DAP_2010-10-15_09-57-43_002_GID17282__P460_T001_G1_sb_HRR_G1_02415.mat,RIB2,228.8958066,32,60,0.262128,289,28.41559296
DAP_2010-10-15_09-57-43_002_GID17282__P460_T001_G1_sb_HRR_G1_02415.mat,RIB2,228.8958066,128,118,0.5155184,513,29.3013232
DAP_2010-10-15_09-57-43_002_GID17282__P460_T001_G1_sb_HRR_G1_02415.mat,RIB2,228.8958066,64,118,0.5155184,865,27.7663839
